Customer,Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
PSA024,Cloudie Technologies (Pty) Ltd,0.0,3415.5,0.0,0.0,0.0,3415.5
C000513,Bassano Gioielli (Pty) Ltd,3448.85,0.0,0.0,0.0,40.0,3408.85
C000794,Octapharma South Africa (Pty) Ltd,3385.66,0.0,0.0,0.0,0.0,3385.66
C006846,WORLDCO LOGISTICS (PTY) LTD,3333.85,0.0,0.0,0.0,0.0,3333.85
C000062,ACIF'S C.C. T/A Mr Snob,3287.85,0.0,0.0,0.0,0.0,3287.85
C006461,INDEPENDENT ALTERNATIVES INVESTMENT MANAGERS (PTY) LTD,3287.85,0.0,0.0,0.0,0.0,3287.85
C000607,Card Technology Services (Pty) Ltd,3276.35,0.0,0.0,0.0,0.0,3276.35
C006095,PEAK SCIENTIFIC AFRICA (PTY) LTD,3276.35,0.0,0.0,0.0,0.0,3276.35
C005807,CHARLOTTE RHYS MANUFACTURING (PTY) LTD,3219.08,0.0,0.0,0.0,0.0,3219.08
C006919,ASAKHENI DEVELOPMENTS (PTY) LTD,3216.93,0.0,0.0,0.0,0.0,3216.93
C006460,TV AUDIO CC T/A STAGE-ONE,0.0,3198.3,0.0,0.0,0.0,3198.3
C006393,NIGHT FIRE INVESTMENT 48 (PTY) LTD,0.0,3178.6,0.0,0.0,0.0,3178.6
C004872,FIGMENT DESIGN LABORATORIES (PTY) LTD,3047.5,0.0,0.0,0.0,0.0,3047.5
C001035,Dairy Standard Agency,2988.85,0.0,0.0,0.0,0.0,2988.85
C006408,ELLE BELLE FOODS (PTY) LTD,2988.85,0.0,0.0,0.0,0.0,2988.85
C006901,HOLISTIC SUPERBET SHARED SERVICES (PTY) LTD,2643.85,341.15,0.0,0.0,0.0,2985.0
C000246,Cloud Brokerage Services (Pty) Ltd  (CBS),0.0,0.0,0.0,0.0,2942.85,2942.85
C006544,ABSOLUTE HOSTING (PTY) LTD,0.0,22525.05,0.0,0.0,19589.54,2935.51
C000032,Pamoja Asset Management ( Pty) Ltd,2873.85,0.0,0.0,0.0,0.0,2873.85
C000836,Hadar Attorneys Incorporated T/A Hadar Incorporated,2873.85,0.0,0.0,0.0,0.0,2873.85
C001178,Blue Seas Products (Pty) Ltd,2873.85,0.0,0.0,0.0,0.0,2873.85
C003774,SERVECONNECT CC,0.0,2873.85,0.0,0.0,0.0,2873.85
C005350,NDLONDLOBALA HOLDINGS (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C005593,HARD ROCK SOUTH AFRICA (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C005738,SIDQCON (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C006122,RUSHAAN TOEFY FINANCIAL SERVICES (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C006182,WOLF LAIR INVESTMENTS (PTY) LTD T/A CILANTROS,2873.85,0.0,0.0,0.0,0.0,2873.85
C006224,MIO MONDO (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C006298,MOYENI COMMERCIAL PROPERTY NO 3 (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C006391,RV ENERGY SOLUTIONS (PTY) LTD,0.0,0.0,0.0,0.0,2873.85,2873.85
C006518,MCG CENTRAL SERVICES (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
C006845,SOMBS HOLDINGS (PTY) LTD,2873.85,0.0,0.0,0.0,0.0,2873.85
ZON001,Zonke-Unicode (Pty) Ltd,2873.85,0.0,0.0,0.0,0.0,2873.85
C006756,PFC COMPUTERS EASTERN CAPE CC,0.0,2810.6,0.0,0.0,0.0,2810.6
C004954,WELSHFIN,2804.85,0.0,0.0,0.0,0.0,2804.85
C005978,I MOBILITY (PTY) LTD,6670.0,0.0,0.0,1725.0,5625.8,2769.2
C001185,VisionOSS (Pty) Ltd t/a VOSS Solutions,2760.0,0.0,0.0,0.0,0.0,2760.0
C006398,PANTRY CLUB,2758.85,0.0,0.0,0.0,0.0,2758.85
C006914,ORCA COURIERS CC,1723.85,1034.31,0.0,0.0,0.0,2758.16
C005483,SOMA FOOD CO. (PTY) LTD,2753.1,0.0,0.0,0.0,0.0,2753.1
PSA033,Crystal Communications,0.0,0.0,0.0,0.0,2656.5,2656.5
C006865,AFRICAN NATIONAL CONGRESS,2643.85,0.0,0.0,0.0,0.0,2643.85
FAB002,Faber & Allin Inc Attorneys,877.3,854.63,0.0,6029.07,5173.85,2587.15
ACC006,Accelerate IT (Pty) Ltd T/A Accelerate IT,2586.35,0.0,0.0,0.0,0.0,2586.35
C005991,NEWBRIDGE HOLDINGS (PTY) LTD,2586.35,0.0,0.0,0.0,0.0,2586.35
WCMEDIT,EXPEDIENT MEDICAL (PTY) LTD T/A MEDICAL IT (PTY) LTD,0.0,2586.35,0.0,0.0,0.0,2586.35
C006276,THALLEON (PTY) LTD,2482.85,0.0,0.0,0.0,0.0,2482.85
C006065,BLAQROZ CO (PTY) LTD,1148.85,1148.85,148.85,0.0,20.67,2425.88
